ressort,url,initial_status,final_status,title,description,hreflang,canonical_url,uses_gsb
BMI,https://de-mail.es,unavailable,unavailable,,,,,
BMI,https://de-mail.fr,unavailable,unavailable,,,,,
BMI,https://de-mail.info,200,200,,,,,False
BMI,https://de-mail.lu,unavailable,unavailable,,,,,
BMI,https://de-mail.net,unavailable,unavailable,,,,,
BMI,https://de-mail.nl,unavailable,unavailable,,,,,
BMI,https://de-mail.org,unavailable,unavailable,,,,,
BMI,https://de-mail.pl,unavailable,unavailable,,,,,
BMI,https://de-mail.ro,unavailable,unavailable,,,,,
BMI,https://de-mail.se,unavailable,unavailable,,,,,
BMI,https://de-mail.si,unavailable,unavailable,,,,,
BMI,https://de-mail.sk,unavailable,unavailable,,,,,
BMI,https://de-mail.wiki,unavailable,unavailable,,,,,
BMI,https://de-mails.de,unavailable,unavailable,,,,,
BMI,https://de-mal.de,unavailable,unavailable,,,,,
BMI,https://de-mial.de,unavailable,unavailable,,,,,
BMI,https://de-mäil.de,unavailable,unavailable,,,,,
BMI,https://dee-mail.de,unavailable,unavailable,,,,,
BMI,https://demail.wiki,unavailable,unavailable,,,,,
BMI,https://demografiepolitik-4you.de,302,200,Demografiepolitik 4you  -  Demografiepolitik4you,,,https://www.demografiepolitik4you.de/4you/DE/Start.html,True
BMI,https://demografiepolitik4you.de,302,200,Demografiepolitik 4you  -  Demografiepolitik4you,,,https://www.demografiepolitik4you.de/4you/DE/Start.html,True
BMI,https://demografiestrategie.de,unavailable,unavailable,,,,,
BMI,https://demographiestrategie.de,unavailable,unavailable,,,,,
BMI,https://der-mail.de,unavailable,unavailable,,,,,
BMI,https://deutsche-islam-konferenz.berlin,unavailable,unavailable,,,,,
BMI,https://deutsche-islam-konferenz.com,unavailable,unavailable,,,,,
